s,e,ba,bo,ty
26,30,1,1,1
32,38,1,1,1
76,80,2,1,1
81,88,1,1,1
92,99,2,2,2
118,122,2,2,1
124,128,2,1,3
150,158,2,4,2
174,182,1,1,2
202,209,2,4,1
211,217,2,4,3
245,249,1,4,3
279,285,1,1,2
298,304,1,1,3
331,337,1,1,1
338,343,1,1,3
362,367,1,2,1
381,386,1,1,2
397,400,1,1,3
425,431,2,1,3
445,451,1,1,3
501,506,1,3,1
508,513,1,1,1
515,523,2,1,1
525,530,1,3,1
534,539,1,3,1
540,545,1,3,1
546,551,1,2,3
577,583,1,2,1
586,589,2,2,3
619,625,1,4,3
655,661,1,4,1
666,671,1,4,1
672,677,2,1,1
680,685,2,1,2
693,698,1,1,2
709,712,2,2,3
743,747,1,3,3
762,768,1,3,1
771,776,1,1,1
778,783,1,1,2
