s,e,ba,bo,ty
30,34,1,1,1
43,49,2,1,3
94,99,1,1,2
114,122,1,1,3
144,148,1,1,1
151,157,1,1,2
169,174,2,4,1
182,186,2,2,2
192,196,1,1,1
199,203,1,1,3
248,251,1,1,1
256,261,2,2,3
288,293,2,2,1
297,302,2,1,1
313,319,2,1,1
321,327,2,1,2
426,430,1,3,1
432,437,2,3,1
439,444,1,1,2
451,458,1,1,3
486,490,2,1,3
514,518,1,2,3
545,550,1,2,3
573,578,1,2,2
590,594,2,3,1
597,603,2,3,3
632,637,1,2,2
661,665,1,2,3
691,696,1,3,3
710,715,1,1,1
723,728,1,1,3
745,750,1,3,2
760,766,1,3,2
773,777,1,1,2
786,790,1,1,2
803,808,1,1,2
813,818,1,1,3
832,836,1,3,2
