s,e,ba,bo,ty
32,37,2,2,1
41,46,2,1,1
55,61,2,1,3
86,91,2,1,2
110,114,2,1,1
118,124,2,2,1
129,134,2,2,1
139,145,2,2,2
162,168,2,4,1
175,180,2,4,3
199,204,1,4,1
206,211,1,4,2
217,224,2,1,3
236,241,1,1,1
243,248,1,1,2
256,261,1,1,3
294,299,1,1,1
301,307,1,1,1
309,313,2,1,3
331,337,1,2,3
356,360,1,1,1
365,370,1,1,3
390,395,2,1,1
400,405,1,1,3
444,450,1,1,3
469,474,1,1,3
516,521,1,1,1
531,537,2,1,1
538,543,2,1,2
551,557,1,1,2
565,570,1,1,1
574,581,2,4,2
591,597,2,4,3
613,618,1,1,1
621,626,1,1,2
655,661,1,1,2
676,681,1,4,2
686,694,1,1,3
719,724,1,1,2
734,740,1,1,3
760,765,1,1,1
768,775,1,1,1
782,790,1,1,3
811,817,2,1,1
829,833,2,1,3
