s,e,ba,bo,ty
57,65,2,1,3
96,103,1,1,2
118,122,1,1,1
124,128,2,1,2
138,143,1,1,1
144,149,1,1,1
157,159,2,4,3
180,186,2,4,1
190,197,1,4,1
207,212,2,4,2
219,224,2,4,1
228,232,1,1,1
234,239,1,1,1
242,245,1,2,3
269,273,1,1,1
284,289,1,2,2
295,301,1,1,1
302,305,2,1,3
325,329,1,1,2
344,348,1,1,3
366,370,1,1,2
379,383,1,1,1
387,391,1,1,2
403,409,1,1,2
422,427,1,1,3
488,492,1,1,1
495,501,1,1,3
532,536,1,1,2
546,550,1,1,1
552,556,1,1,2
566,570,2,1,1
573,576,2,1,1
585,592,1,1,2
607,612,1,1,1
613,617,1,4,2
626,632,2,4,2
640,645,1,1,1
647,652,1,1,1
656,662,1,1,2
676,681,1,1,2
689,694,1,1,2
700,705,1,1,1
707,712,2,1,3
731,735,1,1,2
745,750,1,1,1
773,778,1,2,1
778,784,1,2,1
787,791,1,1,1
796,801,1,1,1
