s,e,ba,bo,ty
39,43,1,1,1
45,49,2,1,2
64,69,2,1,2
70,79,2,2,3
131,136,1,1,1
137,143,1,2,1
149,155,1,2,2
161,164,1,4,3
195,200,1,4,2
208,213,1,4,2
215,220,2,1,1
221,226,2,1,3
245,252,1,1,3
277,281,1,1,1
289,293,2,1,3
319,325,1,1,1
326,330,1,1,2
331,336,1,1,2
338,343,1,1,2
344,350,1,1,2
363,367,1,1,2
370,375,1,1,2
377,382,1,1,2
402,407,1,1,3
431,436,1,1,2
437,441,1,1,2
442,448,1,1,2
449,455,1,1,2
458,463,1,1,2
512,517,1,1,1
518,522,1,1,2
529,535,1,1,1
543,548,1,2,2
549,554,1,1,1
555,560,1,2,2
561,566,1,2,2
575,582,1,2,1
583,587,1,1,1
591,596,1,1,1
599,604,1,1,2
605,610,1,1,3
638,644,1,4,3
668,673,2,4,2
681,687,2,2,3
726,731,1,2,1
733,737,1,4,2
745,752,1,1,1
758,763,1,1,2
765,770,1,1,2
771,775,1,2,3
803,807,1,2,1
810,815,1,1,2
820,826,1,1,2
840,844,1,1,2
844,849,1,1,3
865,871,1,1,2
872,878,2,1,2
