s,e,ba,bo,ty
29,33,1,1,1
34,40,2,2,1
46,51,2,2,2
60,67,1,2,1
70,77,2,1,1
79,85,2,1,2
96,103,2,1,1
107,112,2,1,2
121,127,1,2,1
130,135,2,2,1
149,153,2,2,2
160,164,1,2,3
192,197,1,1,2
205,209,2,1,3
235,239,2,2,2
247,252,1,2,3
270,273,1,2,3
302,309,1,2,1
333,339,1,1,1
351,356,1,1,2
368,375,1,1,3
398,406,1,1,3
476,481,1,1,1
483,487,1,1,3
513,518,1,3,2
526,531,1,1,1
532,539,1,1,3
566,570,1,1,1
573,579,1,2,1
614,619,1,4,1
621,626,1,2,1
629,634,1,1,1
635,639,1,3,2
652,657,1,3,3
685,689,1,2,2
700,704,1,1,1
719,724,1,1,2
761,766,2,1,2
775,780,2,1,3
797,800,1,1,2
808,812,1,1,2
821,826,1,1,1
836,841,1,1,2
