s,e,ba,bo,ty
26,31,2,1,3
59,64,1,1,1
66,70,2,1,1
71,75,1,1,1
117,121,2,1,1
137,141,1,1,3
172,175,2,1,3
196,200,2,1,1
205,209,2,1,1
224,228,1,1,3
277,281,1,1,1
292,295,1,1,3
342,348,1,1,2
361,365,1,1,2
374,379,1,1,2
388,393,1,1,1
395,399,1,1,2
406,412,1,1,3
461,464,2,1,3
481,486,2,1,1
487,492,2,1,1
505,512,2,1,1
513,516,2,1,3
540,543,1,1,3
578,582,1,1,1
616,621,1,1,2
635,638,1,2,3
683,690,1,4,1
694,699,1,4,2
707,712,1,1,2
719,724,1,1,1
727,733,1,1,3
780,783,1,1,1
787,792,1,1,2
831,836,1,1,1
842,846,1,1,1
850,855,1,1,2
